No,変位１,強度１,変位 2,強度２
m,mm,kpa,mm,kpa
1,0.1,0,0.1,0
2,0.2,0.3,0.2,0.5
3,0.3,0.6,0.3,1
4,0.4,0.9,0.4,1.5
5,0.5,1.2,0.5,2
6,0.6,1.5,0.6,2.5
7,0.7,1.8,0.7,3
8,0.8,2.1,0.8,3.5
9,0.9,2.4,0.9,4
10,1,2.7,1,4.5
11,1.1,3,1.1,5
12,1.2,3.3,1.2,5.5
13,1.3,3.6,1.3,6
14,1.4,3.9,1.4,6.5
15,1.5,4.2,1.5,7
16,1.6,4.5,1.6,7.5
17,1.7,4.8,1.7,8
18,1.8,5.1,1.8,8.5
19,1.9,5.4,1.9,9
20,2,5.7,2,9.5
21,2.1,6,2.1,10
22,2.2,6.3,2.2,10.5
23,2.3,6.6,2.3,11
24,2.4,6.9,2.4,11.5
25,2.5,7.2,2.5,12
26,2.6,7.5,2.6,12.5
27,2.7,7.8,2.7,13
28,2.8,8.1,2.8,13.5
29,2.9,8.4,2.9,14
30,3,8.7,3,14.5
31,3.1,9,3.1,15
32,3.2,9.3,3.2,15.5
33,3.3,9.6,3.3,16
34,3.4,9.9,3.4,16.5
35,3.5,10.2,3.5,17
36,3.6,10.5,3.6,17.5
37,3.7,10.8,3.7,18
38,3.8,11.1,3.8,18.5
39,3.9,11.4,3.9,19
40,4,11.7,4,19.5
41,4.1,12,4.1,20
42,4.2,12.3,4.2,20.5
43,4.3,12.6,4.3,21
44,4.4,12.9,4.4,21.5
45,4.5,13.2,4.5,22
46,4.6,13.5,4.6,22.5
47,4.7,13.8,4.7,23
48,4.8,14.1,4.8,23.5
49,4.9,14.4,4.9,24
50,5,14.7,5,24.5
51,5.1,15,5.1,25
52,5.2,15.3,5.2,25.5
53,5.3,15.6,5.3,26
54,5.4,15.9,5.4,26.5
55,5.5,16.2,5.5,27
56,5.6,16.5,5.6,27.5
57,5.7,16.8,5.7,28
58,5.8,17.1,5.8,28.5
59,5.9,17.4,5.9,29
60,6,17.7,6,29.5
61,6.1,18,6.1,30
62,6.2,18.3,6.2,30.5
63,6.3,18.6,6.3,31
64,6.4,18.9,6.4,31.5
65,6.5,19.2,6.5,32
66,6.6,19.5,6.6,32.5
67,6.7,19.8,6.7,33
68,6.8,20.1,6.8,33.5
69,6.9,20.4,6.9,34
70,7,20.7,7,34.5
71,7.1,21,7.1,35
72,7.2,21.3,7.2,35.5
73,7.3,21.6,7.3,36
74,7.4,21.9,7.4,36.5
75,7.5,22.2,7.5,37
76,7.6,22.5,7.6,37.5
77,7.7,22.8,7.7,38
78,7.8,23.1,7.8,38.5
79,7.9,23.4,7.9,39
80,8,23.7,8,39.5
81,8.1,24,8.1,40
82,8.2,24.3,8.2,40.5
83,8.3,24.6,8.3,41
84,8.4,24.9,8.4,41.5
85,8.5,25.2,8.5,42
86,8.6,25.5,8.6,42.5
87,8.7,25.8,8.7,43
88,8.8,26.1,8.8,43.5
89,8.9,26.4,8.9,44
90,9,26.7,9,44.5
91,9.1,27,9.1,45
92,9.2,27.3,9.2,45.5
93,9.3,27.6,9.3,46
94,9.4,27.9,9.4,46.5
95,9.5,28.2,9.5,47
96,9.6,28.5,9.6,47.5
97,9.7,28.8,9.7,48
98,9.8,29.1,9.8,48.5
99,9.9,29.4,9.9,49
100,10,29.7,10,49.5
101,10.1,30,10.1,50
102,10.2,30.3,10.2,50.5
103,10.3,30.6,10.3,51
104,10.4,30.9,10.4,51.5
105,10.5,31.2,10.5,52
106,10.6,31.5,10.6,52.5
107,10.7,31.8,10.7,53
108,10.8,32.1,10.8,53.5
109,10.9,32.4,10.9,54
110,11,32.7,11,54.5
111,11.1,33,11.1,55
112,11.2,33.3,11.2,55.5
113,11.3,33.6,11.3,56
114,11.4,33.9,11.4,56.5
115,11.5,34.2,11.5,57
116,11.6,34.5,11.6,57.5
117,11.7,34.8,11.7,58
118,11.8,35.1,11.8,58.5
119,11.9,35.4,11.9,59
120,12,35.7,12,59.5
121,12.1,36,12.1,60
122,12.2,36.3,12.2,60.5
123,12.3,36.6,12.3,61
124,12.4,36.9,12.4,61.5
125,12.5,37.2,12.5,62
126,12.6,37.5,12.6,62.5
127,12.7,37.8,12.7,63
128,12.8,38.1,12.8,63.5
129,12.9,38.4,12.9,64
130,13,38.7,13,64.5
131,13.1,39,13.1,65
132,13.2,39.3,13.2,65.5
133,13.3,39.6,13.3,66
134,13.4,39.9,13.4,66.5
135,13.5,40.2,13.5,67
136,13.6,40.5,13.6,67.5
137,13.7,40.8,13.7,68
138,13.8,41.1,13.8,68.5
139,13.9,41.4,13.9,69
140,14,41.7,14,69.5
141,14.1,42,14.1,70
142,14.2,42.3,14.2,70.5
143,14.3,42.6,14.3,71
144,14.4,42.9,14.4,71.5
145,14.5,43.2,14.5,72
146,14.6,43.5,14.6,72.5
147,14.7,43.8,14.7,73
148,14.8,44.1,14.8,73.5
149,14.9,44.4,14.9,74
150,15,44.7,15,74.5
151,15.1,45,15.1,75
152,15.2,45.3,15.2,75.5
153,15.3,45.6,15.3,76
154,15.4,45.9,15.4,76.5
155,15.5,46.2,15.5,77
156,15.6,46.5,15.6,77.5
157,15.7,46.8,15.7,78
158,15.8,47.1,15.8,78.5
159,15.9,47.4,15.9,79
160,16,47.7,16,79.5
161,16.1,48,16.1,80
162,16.2,48.3,16.2,80.5
163,16.3,48.6,16.3,81
164,16.4,48.9,16.4,81.5
165,16.5,49.2,16.5,82
166,16.6,49.5,16.6,82.5
167,16.7,49.8,16.7,83
168,16.8,50.1,16.8,83.5
169,16.9,50.4,16.9,84
170,17,50.7,17,84.5
171,17.1,51,17.1,85
172,17.2,51.3,17.2,85.5
173,17.3,51.6,17.3,86
174,17.4,51.9,17.4,86.5
175,17.5,52.2,17.5,87
176,17.6,52.5,17.6,87.5
177,17.7,52.8,17.7,88
178,17.8,53.1,17.8,88.5
179,17.9,53.4,17.9,89
180,18,53.7,18,89.5
181,18.1,54,18.1,90
182,18.2,54.3,18.2,90.5
183,18.3,54.6,18.3,91
184,18.4,54.9,18.4,91.5
185,18.5,55.2,18.5,92
186,18.6,55.5,18.6,92.5
187,18.7,55.8,18.7,93
188,18.8,56.1,18.8,93.5
189,18.9,56.4,18.9,94
190,19,56.7,19,94.5
191,19.1,57,19.1,95
192,19.2,57.3,19.2,95.5
193,19.3,57.6,19.3,96
194,19.4,57.9,19.4,96.5
195,19.5,58.2,19.5,97
196,19.6,58.5,19.6,97.5
197,19.7,58.8,19.7,98
198,19.8,59.1,19.8,98.5
199,19.9,59.4,19.9,99
200,20,59.7,20,99.5
201,20.1,60,20.1,100
202,20.2,60.3,20.2,100.5
203,20.3,60.6,20.3,101
204,20.4,60.9,20.4,101.5
205,20.5,61.2,20.5,102
206,20.6,61.5,20.6,102.5
207,20.7,61.8,20.7,103
208,20.8,62.1,20.8,103.5
209,20.9,62.4,20.9,104
210,21,62.7,21,104.5
211,21.1,63,21.1,105
212,21.2,63.3,21.2,105.5
213,21.3,63.6,21.3,106
214,21.4,63.9,21.4,106.5
215,21.5,64.2,21.5,107
216,21.6,64.5,21.6,107.5
217,21.7,64.8,21.7,108
218,21.8,65.1,21.8,108.5
219,21.9,65.4,21.9,109
220,22,65.7,22,109.5
221,22.1,66,22.1,110
222,22.2,66.3,22.2,110.5
223,22.3,66.6,22.3,111
224,22.4,66.9,22.4,111.5
225,22.5,67.2,22.5,112
226,22.6,67.5,22.6,112.5
227,22.7,67.8,22.7,113
228,22.8,68.1,22.8,113.5
229,22.9,68.4,22.9,114
230,23,68.7,23,114.5
231,23.1,69,23.1,115
232,23.2,69.3,23.2,115.5
233,23.3,69.6,23.3,116
234,23.4,69.9,23.4,116.5
235,23.5,70.2,23.5,117
236,23.6,70.5,23.6,117.5
237,23.7,70.8,23.7,118
238,23.8,71.1,23.8,118.5
239,23.9,71.4,23.9,119
240,24,71.7,24,119.5
241,24.1,72,24.1,120
242,24.2,72.3,24.2,120.5
243,24.3,72.6,24.3,121
244,24.4,72.9,24.4,121.5
245,24.5,73.2,24.5,122
246,24.6,73.5,24.6,122.5
247,24.7,73.8,24.7,123
248,24.8,74.1,24.8,123.5
249,24.9,74.4,24.9,124
250,25,74.7,25,124.5
251,25.1,75,25.1,125
252,25.2,75.3,25.2,125.5
253,25.3,75.6,25.3,126
254,25.4,75.9,25.4,126.5
255,25.5,76.2,25.5,127
256,25.6,76.5,25.6,127.5
257,25.7,76.8,25.7,128
258,25.8,77.1,25.8,128.5
259,25.9,77.4,25.9,129
260,26,77.7,26,129.5
261,26.1,78,26.1,130
262,26.2,78.3,26.2,130.5
263,26.3,78.6,26.3,131
264,26.4,78.9,26.4,131.5
265,26.5,79.2,26.5,132
266,26.6,79.5,26.6,132.5
267,26.7,79.8,26.7,133
268,26.8,80.1,26.8,133.5
269,26.9,80.4,26.9,134
270,27,80.7,27,134.5
271,27.1,81,27.1,135
272,27.2,81.3,27.2,135.5
273,27.3,81.6,27.3,136
274,27.4,81.9,27.4,136.5
275,27.5,82.2,27.5,137
276,27.6,82.5,27.6,137.5
277,27.7,82.8,27.7,138
278,27.8,83.1,27.8,138.5
279,27.9,83.4,27.9,139
280,28,83.7,28,139.5
281,28.1,84,28.1,140
282,28.2,84.3,28.2,140.5
283,28.3,84.6,28.3,141
284,28.4,84.9,28.4,141.5
285,28.5,85.2,28.5,142
286,28.6,85.5,28.6,142.5
287,28.7,85.8,28.7,143
288,28.8,86.1,28.8,143.5
289,28.9,86.4,28.9,144
290,29,86.7,29,144.5
291,29.1,87,29.1,145
292,29.2,87.3,29.2,145.5
293,29.3,87.6,29.3,146
294,29.4,87.9,29.4,146.5
295,29.5,88.2,29.5,147
296,29.6,88.5,29.6,147.5
297,29.7,88.8,29.7,148
298,29.8,89.1,29.8,148.5
299,29.9,89.4,29.9,149
300,30,89.7,30,149.5
301,30.1,90,30.1,150
302,30.2,90.3,30.2,150.5
303,30.3,90.6,30.3,151
304,30.4,90.9,30.4,151.5
305,30.5,91.2,30.5,152
306,30.6,91.5,30.6,152.5
307,30.7,91.8,30.7,153
308,30.8,92.1,30.8,153.5
309,30.9,92.4,30.9,154
310,31,92.7,31,154.5
311,31.1,93,31.1,155
312,31.2,93.3,31.2,155.5
313,31.3,93.6,31.3,156
314,31.4,93.9,31.4,156.5
315,31.5,94.2,31.5,157
316,31.6,94.5,31.6,157.5
317,31.7,94.8,31.7,158
318,31.8,95.1,31.8,158.5
319,31.9,95.4,31.9,159
320,32,95.7,32,159.5
321,32.1,96,32.1,160
322,32.2,96.3,32.2,160.5
323,32.3,96.6,32.3,161
324,32.4,96.9,32.4,161.5
325,32.5,97.2,32.5,162
326,32.6,97.5,32.6,162.5
327,32.7,97.8,32.7,163
328,32.8,98.1,32.8,163.5
329,32.9,98.4,32.9,164
330,33,98.7,33,164.5
331,33.1,99,33.1,165
332,33.2,99.3,33.2,165.5
333,33.3,99.6,33.3,166
334,33.4,99.9,33.4,166.5
335,33.5,100.2,33.5,167
336,33.6,100.5,33.6,167.5
337,33.7,100.8,33.7,168
338,33.8,101.1,33.8,168.5
339,33.9,101.4,33.9,169
340,34,101.7,34,169.5
341,34.1,102,34.1,170
342,34.2,102.3,34.2,170.5
343,34.3,102.6,34.3,171
344,34.4,102.9,34.4,171.5
345,34.5,103.2,34.5,172
346,34.6,103.5,34.6,172.5
347,34.7,103.8,34.7,173
348,34.8,104.1,34.8,173.5
349,34.9,104.4,34.9,174
350,35,104.7,35,174.5
351,35.1,105,35.1,175
352,35.2,105.3,35.2,175.5
353,35.3,105.6,35.3,176
354,35.4,105.9,35.4,176.5
355,35.5,106.2,35.5,177
356,35.6,106.5,35.6,177.5
357,35.7,106.8,35.7,178
358,35.8,107.1,35.8,178.5
359,35.9,107.4,35.9,179
360,36,107.7,36,179.5
361,36.1,108,36.1,180
362,36.2,108.3,36.2,180.5
363,36.3,108.6,36.3,181
364,36.4,108.9,36.4,181.5
365,36.5,109.2,36.5,182
366,36.6,109.5,36.6,182.5
367,36.7,109.8,36.7,183
368,36.8,110.1,36.8,183.5
369,36.9,110.4,36.9,184
370,37,110.7,37,184.5
371,37.1,111,37.1,185
372,37.2,111.3,37.2,185.5
373,37.3,111.6,37.3,186
374,37.4,111.9,37.4,186.5
375,37.5,112.2,37.5,187
376,37.6,112.5,37.6,187.5
377,37.7,112.8,37.7,188
378,37.8,113.1,37.8,188.5
379,37.9,113.4,37.9,189
380,38,113.7,38,189.5
381,38.1,114,38.1,190
382,38.2,114.3,38.2,190.5
383,38.3,114.6,38.3,191
384,38.4,114.9,38.4,191.5
385,38.5,115.2,38.5,192
386,38.6,115.5,38.6,192.5
387,38.7,115.8,38.7,193
388,38.8,116.1,38.8,193.5
389,38.9,116.4,38.9,194
390,39,116.7,39,194.5
391,39.1,117,39.1,195
392,39.2,117.3,39.2,195.5
393,39.3,117.6,39.3,196
394,39.4,117.9,39.4,196.5
395,39.5,118.2,39.5,197
396,39.6,118.5,39.6,197.5
397,39.7,118.8,39.7,198
398,39.8,119.1,39.8,198.5
399,39.9,119.4,39.9,199
400,40,119.7,40,199.5
401,40.1,120,40.1,200
402,40.2,120.3,40.2,200.5
403,40.3,120.6,40.3,201
404,40.4,120.9,40.4,201.5
405,40.5,121.2,40.5,202
406,40.6,121.5,40.6,202.5
407,40.7,121.8,40.7,203
408,40.8,122.1,40.8,203.5
409,40.9,122.4,40.9,204
410,41,122.7,41,204.5
411,41.1,123,41.1,205
412,41.2,123.3,41.2,205.5
413,41.3,123.6,41.3,206
414,41.4,123.9,41.4,206.5
